phylum_prey	class_prey	order_prey	family_prey	genus_prey	species_prey
Chordata	Actinopterygii	Gadiformes	Phycidae	Phycis	Phycis blennoides
Chordata	Actinopterygii	Gadiformes	Phycidae	Urophycis	Urophycis tenuis
Chordata	Actinopterygii	Gadiformes	Merlucciidae	Merluccius	Merluccius merluccius
Chordata	Actinopterygii	Gadiformes	Merlucciidae		
Chordata	Actinopterygii	Osmeriformes	Osmeridae	Mallotus	Mallotus villosus
Chordata	Actinopterygii	Osmeriformes	Argentinidae	Argentina 	Argentina sphyraena
Chordata	Actinopterygii	Osmeriformes	Argentinidae		
Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	Clupea harengus
Chordata	Actinopterygii	Clupeiformes	Clupeidae	Sprattus	Sprattus sprattus
Chordata	Actinopterygii	Clupeiformes	Clupeidae		
Chordata	Actinopterygii	Clupeiformes	Engraulidae	Engraulis	Engraulis encrasicolus
Chordata	Actinopterygii	Scorpaeniformes	Cottidae	Myoxocephalus	Myoxocephalus scorpius
Chordata	Actinopterygii	Scorpaeniformes	Cottidae	Taurulus	Taurulus bubalis
Chordata	Actinopterygii	Scorpaeniformes	Cottidae		
Chordata	Actinopterygii	Scorpaeniformes	Cyclopteridae	Cyclopterus 	Cyclopterus lumpus
Chordata	Actinopterygii	Scorpaeniformes	Agonidae	Leptagonus	Leptagonus decagonus
Chordata	Actinopterygii	Scorpaeniformes	Agonidae	Agonus	Agonus cataphractus
Chordata	Actinopterygii	Scorpaeniformes	Agonidae		
Chordata	Actinopterygii	Scorpaeniformes	Liparidae	Liparis 	Liparis liparis
Chordata	Actinopterygii	Scorpaeniformes	Sebastidae	Sebastes	Sebastes fasciatus
Chordata	Actinopterygii	Scorpaeniformes	Sebastidae	Sebastes	Sebastes marinus
Chordata	Actinopterygii	Scorpaeniformes	Sebastidae	Sebastes	Sebastes viviparus
Chordata	Actinopterygii	Scorpaeniformes	Neosebastidae		
Chordata	Actinopterygii	Scorpaeniformes	Triglidae	Eutrigla	Eutrigla gurnardus
Chordata	Actinopterygii	Scorpaeniformes	Triglidae	Chelidonichthys	Chelidonichthys cuculus
Chordata	Actinopterygii	Scorpaeniformes	Triglidae		
Chordata	Actinopterygii	Syngnathiformes	Syngnathidae	Entelurus	Entelurus aequoreus
Chordata	Actinopterygii	Syngnathiformes	Syngnathidae	Syngnathus	Syngnathus rostellatus
Chordata	Actinopterygii	Syngnathiformes	Syngnathidae	Syngnathus	Syngnathus acus
Chordata	Actinopterygii	Syngnathiformes	Syngnathidae	Nerophis	Nerophis lumbriciformis
Chordata	Actinopterygii	Syngnathiformes	Syngnathidae		
Chordata	Actinopterygii	Syngnathiformes			
Chordata	Actinopterygii	Stomiiformes	Sternoptychidae	Maurolicus	Maurolicus muelleri
Chordata	Actinopterygii	Gasterosteiformes	Gasterosteidae	Gasterosteus 	Gasterosteus aculeatus
Chordata	Actinopterygii	Gasterosteiformes	Gasterosteidae	Spinachia 	Spinachia spinachia
Chordata	Actinopterygii	Gasterosteiformes	Gasterosteidae		
Chordata	Actinopterygii	Myctophiformes	Myctophidae	Benthosema	Benthosema glaciale
Chordata	Actinopterygii	Beloniformes	Scomberescoidae	Scomberesox	Scomberesox saurus
Chordata	Actinopterygii	Beloniformes	Belonidae	Belone	Belone belone
Chordata	Actinopterygii	Salmoniformes	Salmonidae	Salmo	Salmo salar
Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	
Chordata	Actinopterygii	Salmoniformes	Salmonidae		
Chordata	Actinopterygii	Atheriniformes	Atherinidae	Atherina	Atherina presbyter
Chordata	Actinopterygii	Stephanoberyciformes	Melamphaidae	Scopelogadus 	Scopelogadus beanii
Chordata	Actinopterygii	Anguilliformes	Anguillidae	Anguilla 	Anguilla anguilla
Chordata	Actinopterygii				
Chordata	Elasmobranchii	Myliobatiformes	Myliobatidae	Raja	
Chordata	Elasmobranchii	Squaliformes	Squalidae	Squalus 	Squalus acanthias
Chordata	Mammalia				
Chordata					
Arthropoda	Malacostraca	Amphipoda	Calliopiidae	Apherusa	Apherusa glacialis
Arthropoda	Malacostraca	Amphipoda	Gammarellidae	Gammarellus	Gammarellus homari
Arthropoda	Malacostraca	Amphipoda	Gammaridae	Gammarus	Gammarus wilkitzkii
Arthropoda	Malacostraca	Amphipoda	Gammaridae	Gammarus	Gammarus setosus
Arthropoda	Malacostraca	Amphipoda	Lysianassidae	Hippomedon 	Hippomedon denticulatus
Arthropoda	Malacostraca	Amphipoda	Gammaracanthidae	Gammaracanthus	Gammaracanthus caspius
Arthropoda	Malacostraca	Amphipoda	Hyperiidae	Themisto	Themisto libellua
Arthropoda	Malacostraca	Amphipoda	Hyperiidae	Themisto	Themisto abyssorum
Arthropoda	Malacostraca	Amphipoda	Hyperiidae	Hyperia 	Hyperia medusarum
Arthropoda	Malacostraca	Amphipoda	Hyperiidae	Hyperia 	Hyperia spinigera
Arthropoda	Malacostraca	Amphipoda	Hyperiidae	Hyperia 	Hyperia galba
Arthropoda	Malacostraca	Amphipoda	Hyperiidae	Hyperoche 	Hyperoche medusarum
Arthropoda	Malacostraca	Amphipoda	Lysianassidae		
Arthropoda	Malacostraca	Amphipoda	Uristidae	Onisimus	Onisimus glacialis
Arthropoda	Malacostraca	Amphipoda	Uristidae	Onisimus	Onisimus nanseni
Arthropoda	Malacostraca	Amphipoda	Uristidae	Onisimus	Onisimus litoralis
Arthropoda	Malacostraca	Amphipoda	Ischyroceridae	Ischyrocerus	Ischyrocerus anguipes
Arthropoda	Malacostraca	Amphipoda	Oedicerotidae	Paroediceros 	Paroediceros lynceus
Arthropoda	Malacostraca	Amphipoda	Eusiridae	Eusirus	
Arthropoda	Malacostraca	Amphipoda	Talitridae	Orchestia 	Orchestia gammarellus
Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Megannyctiphares	Meganyctiphanes norvegica
Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Thysanoessa	Thysanoessa inermis
Arthropoda	Malacostraca	Euphausiacea			
Arthropoda	Malacostraca	Decapoda	Nephropidae	Nephrops	Nephrops norvegicus
Arthropoda	Malacostraca	Decapoda	Nephropidae	Nephrops	
Arthropoda	Malacostraca	Decapoda	Thoridae	Eualus	Eualus pusiolus
Arthropoda	Malacostraca	Decapoda	Pandalidae	Pandalus	Pandalus borealis
Arthropoda	Malacostraca	Decapoda	Pandalidae	Pandalus	Pandalus montagui
Arthropoda	Malacostraca	Decapoda	Hippolytidae		
Arthropoda	Malacostraca	Decapoda	Munididae	Munida	Munida intermedia
Arthropoda	Malacostraca	Decapoda	Pasiphaeidae	Parapasiphae 	Parapasiphae sulcatifrons
Arthropoda	Malacostraca	Decapoda	Paguridae	Pagurus	Pagurus bernhardus
Arthropoda	Malacostraca	Decapoda	Polybiidae	Liocarcinus	
Arthropoda	Malacostraca	Decapoda	Acanthephyridae	Acanthephyra	Acanthephyra pelagica
Arthropoda	Malacostraca	Decapoda	Acanthephyridae	Acanthephyra	
Arthropoda	Malacostraca	Decapoda	Pandalidae	Pandalus	Pandalus borealis
Arthropoda	Malacostraca	Decapoda	Carcinidae	Carcinus	Carcinus maenas
Arthropoda	Malacostraca	Decapoda	Cancridae	Cancer	Cancer pagurus
Arthropoda	Malacostraca	Decapoda	Portunidae	Portunus 	Portunus puber
Arthropoda	Malacostraca	Decapoda	Crangonidae	Crangon 	Crangon crangon
Arthropoda	Malacostraca	Decapoda			
Arthropoda	Malacostraca	Mysida	Mysidae	Mysis	Mysis oculata
Arthropoda	Malacostraca	Mysida			
Arthropoda	Malacostraca	Isopoda	Idoteidae	Idotea	Idotea metallica
Arthropoda	Malacostraca	Isopoda	Cirolanidae	Eurydice 	Eurydice pulchra
Arthropoda	Malacostraca	Isopoda	Cirolanidae	Eurydice 	
Arthropoda	Malacostraca	Isopoda	Ligiidae	Ligia	Ligia oceanica
Arthropoda	Malacostraca	Isopoda			
Arthropoda	Malacostraca	Lophogastrida	Gnathophausiidae	Gnathophausia 	Gnathophausia zoea
Arthropoda	Malacostraca				
Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	
Arthropoda	Hexanauplia	Calanoida	Metridinidae	Metridia	Metridia longa
Arthropoda	Hexanauplia	Siphonostomatoida	Caligidae	Caligus 	Caligus elongatus
Arthropoda	Pycnogonida				
Arthropoda					
Mollusca	Cephalopoda	Oegopsida	Gonatidae	Gonatus	Gonatus steenstrupi
Mollusca	Cephalopoda	Oegopsida	Gonatidae	Gonatus	Gonatus fabricii
Mollusca	Cephalopoda	Oegopsida	Gonatidae		
Mollusca	Cephalopoda	Oegopsida	Ommastrephidae	Illex 	Illex illecebrosus
Mollusca	Cephalopoda	Oegopsida	Ommastrephidae	Todarodes 	Todarodes sagittatus
Mollusca	Cephalopoda	Oegopsida	Ommastrephidae	Todaropsis 	Todaropsis eblanae
Mollusca	Cephalopoda	Oegopsida	Ommastrephidae		
Mollusca	Cephalopoda	Oegopsida	Cranchiidae	Teuthowenia	Teuthowenia megalops
Mollusca	Cephalopoda	Oegopsida	Cranchiidae	Taonius	Taonius pavo
Mollusca	Cephalopoda	Oegopsida	Onychoteuthidae	Onychoteuthis	Onychoteuthis banksii
Mollusca	Cephalopoda	Oegopsida	Mastigoteuthidae	Mastigoteuthis	
Mollusca	Cephalopoda	Teuthida			
Mollusca	Cephalopoda	Sepiida	Sepiidae	Sepia 	Sepia officinalis
Mollusca	Cephalopoda	Myopsida	Loliginidae	Alloteuthis  	Alloteuthis subulata 
Mollusca	Cephalopoda				
Mollusca	Gastropoda	Thecosomata	Limacinidae	Limacina	Limacina limata
Mollusca	Gastropoda	Pteropoda			
Mollusca	Gastropoda	Neogastropoda	Buccinidae	Buccinum 	Buccinum undatum
Mollusca	Gastropoda	Neogastropoda	Trochidae	Monodonta 	Monodonta lineata
Mollusca	Gastropoda	Neogastropoda	Muricidae	Nucella 	Nucella lapillus
Mollusca	Gastropoda	Littorinimorpha	Littorinidae	Littorina 	Littorina saxatilis
Mollusca	Gastropoda	Littorinimorpha	Patellidae	Patella	
Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus edulis
Mollusca	Bivalvia	Cardiida	Cardiidae	Cerastoderma 	Cerastoderma edule
Mollusca	Bivalvia	Cardiida	Tellinidae	Macomangulus	Macomangulus tenuis
Mollusca	Bivalvia	Adapedonta	Pharidae		
Mollusca	Bivalvia	Venerida	Veneridae	Paphia	
Mollusca	Bivalvia				
Mollusca					
Annelida	Polychaeta	Phyllodocida	Nereididae	Nereis	Nereis irrorata
Annelida	Polychaeta	Phyllodocida	Nereididae	Nereis	Nereis peliagica
Annelida	Polychaeta	Phyllodocida	Nereididae	Hediste	Hediste diversicolor
Annelida	Polychaeta	Phyllodocida	Nereididae	Neanthes	Neanthes nubila
Annelida	Polychaeta	Phyllodocida	Nereididae		
Annelida	Polychaeta	Phyllodocida	Polynoidae	Harmothoe	Harmothoe imbricata
Annelida	Polychaeta	Phyllodocida	Aphroditidae	Aphrodita	Aphrodita aculeata
Annelida	Polychaeta	Phyllodocida	Arenicolidae	Arenicola	
Annelida	Polychaeta	Terebellida	Ampharetidae		
Annelida	Polychaeta				
Annelida	Clitellata	Haplotaxida	Naididae	Nais	Nais elinguis
Annelida					
Echinodermata	Asteroidea	Forcipulatida	Asteriidae	Asterias 	Asterias rubens
Echinodermata	Echinoidea				
Echinodermata					
Cnidaria	Hydrozoa	Anthoathecata	Porpitidae	Velella 	Velella velella
Cnidaria					
